"library_system","web_address","state","popu_lsa_2019","web_visits_2019","locale_mod","cen_tract"
"SISKIYOU COUNTY FREE LIBRARY","http://www.siskiyoulibrary.info","CA",44584,-1,43,7.02
"SOLANO COUNTY LIBRARY","http://solanolibrary.com/","CA",384673,406701,22,2525.01
"SONOMA COUNTY LIBRARY","http://sonomalibrary.org","CA",500675,2445477,12,1513.08
"SOUTH PASADENA PUBLIC LIBRARY","www.southpasadenaca.gov/library","CA",26245,-1,21,4807.04
"SOUTH SAN FRANCISCO PUBLIC LIBRARY","http://www.ssf.net/library","CA",67078,216044,13,6024
"ST. HELENA PUBLIC LIBRARY","https://www.shpl.org/","CA",6133,41200,31,2016.02
"STANISLAUS COUNTY FREE LIBRARY","http://stanislauslibrary.org","CA",558972,1531556,21,18
"STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY","http://www.ssjcpl.org","CA",702113,302767,11,1
"SUNNYVALE PUBLIC LIBRARY","http://www.sunnyvalelibrary.org","CA",155567,313037,12,5086.01
"SUTTER COUNTY LIBRARY","http://www.co.sutter.ca.us/doc/government/depts/library/library","CA",97490,25633,41,502.01
"TEHAMA COUNTY LIBRARY","http://www.tehamacountylibrary.org","CA",64387,-1,32,7
"THOUSAND OAKS LIBRARY","http://www.tolibrary.org","CA",129557,936104,12,72.01
"TORRANCE PUBLIC LIBRARY","http://www.Library.TorranceCA.gov","CA",148054,615585,12,6504.01
"TRINITY COUNTY FREE LIBRARY","http://library.trinitycounty.org","CA",13688,2276,43,1.02
"TULARE COUNTY FREE LIBRARY","http://www.tularecountylibrary.org","CA",351885,570630,31,12
"TULARE PUBLIC LIBRARY","http://www.tularepubliclibrary.org","CA",66967,85432,22,23.03
"TUOLUMNE COUNTY LIBRARY","http://www.tuolumnecounty.ca.gov/library","CA",54590,12750,32,12
"UPLAND PUBLIC LIBRARY","https://www.ci.upland.ca.us/library","CA",78481,-1,21,9.03
"VENTURA COUNTY LIBRARY","http://www.vencolibrary.org","CA",251767,1825388,21,15.02
"VICTORVILLE CITY LIBRARY","https://www.victorvilleca.gov/library/","CA",126543,-1,21,99.13
"WATSONVILLE PUBLIC LIBRARY","http://www.watsonvillelibrary.org","CA",53021,-1,13,1103
"WHITTIER PUBLIC LIBRARY","https://www.whittierlibrary.org/","CA",87526,159714,21,5018.04
"WILLOWS PUBLIC LIBRARY","https://willowspubliclibrary.org/","CA",13539,-1,32,104
"WOODLAND PUBLIC LIBRARY","http://www.cityofwoodland.org/library","CA",60292,52731,23,108
"YOLO COUNTY LIBRARY","https://yolocountylibrary.org/","CA",162289,376819,41,109.02
"YORBA LINDA PUBLIC LIBRARY","www.ylpl.org","CA",68706,132692,21,218.02
"YUBA COUNTY LIBRARY","http://library.yuba.org","CA",77916,-1,22,401
